"timestamp","temperature_c","vibration_mm_s","pressure_kpa","current_a"
"2025-07-30 16:00:00","31.683","3.539","101.073","7.497"
"2025-07-30 16:05:00","32.555","3.553","100.973","8.161"
"2025-07-30 16:10:00","32.983","3.702","101.028","7.447"
"2025-07-30 16:15:00","32.373","3.677","101.024","7.378"
"2025-07-30 16:20:00","33.037","4.671","101.234","8.384"
"2025-07-30 16:25:00","31.603","3.543","100.982","7.609"
"2025-07-30 16:30:00","31.479","3.597","100.908","8.01"
"2025-07-30 16:35:00","31.826","3.64","100.951","8.202"
"2025-07-30 16:40:00","32.151","3.654","101.217","8.66"
"2025-07-30 16:45:00","32.235","4.043","100.815","8.256"
"2025-07-30 16:50:00","32.088","3.602","100.892","9.322"
"2025-07-30 16:55:00","31.532","3.797","100.995","7.539"
"2025-07-30 17:00:00","31.753","3.898","100.938","8.212"
"2025-07-30 17:05:00","31.06","3.732","101.172","8.398"
"2025-07-30 17:10:00","31.74","4.116","101.214","8.247"
"2025-07-30 17:15:00","29.937","3.857","100.888","7.685"
"2025-07-30 17:20:00","31.175","3.634","101.109","8.054"
"2025-07-30 17:25:00","30.892","3.658","101.044","7.755"
"2025-07-30 17:30:00","29.806","3.558","101.658","7.741"
"2025-07-30 17:35:00","30.204","3.674","100.948","7.204"
"2025-07-30 17:40:00","30.455","3.692","101.291","8.683"
"2025-07-30 17:45:00","28.968","4.004","100.993","8.42"
"2025-07-30 17:50:00","29.154","4.122","101.278","8.743"
"2025-07-30 17:55:00","29.161","3.718","101.452","8.055"
"2025-07-30 18:00:00","29.128","3.731","101.066","7.508"
"2025-07-30 18:05:00","30.322","1.665","101.201","5.35"
"2025-07-30 18:10:00","29.15","1.991","101.017","4.864"
"2025-07-30 18:15:00","30.326","1.536","100.933","5.044"
"2025-07-30 18:20:00","29.602","1.747","100.942","4.818"
"2025-07-30 18:25:00","28.841","1.657","101.094","4.676"
"2025-07-30 18:30:00","29.16","1.812","101.587","5.243"
"2025-07-30 18:35:00","28.191","1.52","100.941","4.762"
"2025-07-30 18:40:00","28.432","1.629","101.062","5.362"
"2025-07-30 18:45:00","28.945","1.633","101.061","5.145"
"2025-07-30 18:50:00","29.263","2.065","101.101","4.651"
"2025-07-30 18:55:00","27.842","1.897","100.439","5.227"
"2025-07-30 19:00:00","27.945","2.077","100.922","4.635"
"2025-07-30 19:05:00","28.203","1.514","100.898","4.901"
"2025-07-30 19:10:00","29.28","1.624","101.247","5.131"
"2025-07-30 19:15:00","28.438","1.522","101.077","5.159"
"2025-07-30 19:20:00","28.04","1.842","100.847","5.207"
"2025-07-30 19:25:00","27.627","1.716","100.821","5.141"
"2025-07-30 19:30:00","27.735","1.636","100.83","5.052"
"2025-07-30 19:35:00","27.723","2.15","100.808","5.126"
"2025-07-30 19:40:00","28.713","1.675","100.908","5.177"
"2025-07-30 19:45:00","26.72","1.611","100.825","4.989"
"2025-07-30 19:50:00","26.721","2.123","100.766","4.323"
"2025-07-30 19:55:00","27.078","1.772","101.205","5.031"
"2025-07-30 20:00:00","27.947","1.648","101.351","4.785"
"2025-07-30 20:05:00","27.253","1.662","101.324","5.347"
"2025-07-30 20:10:00","27.61","1.815","101.171","4.797"
"2025-07-30 20:15:00","26.877","2.007","101.151","5.413"
"2025-07-30 20:20:00","27.007","1.592","101.254","4.45"
"2025-07-30 20:25:00","27.17","1.509","101.406","4.939"
"2025-07-30 20:30:00","26.53","1.606","101.115","4.619"
"2025-07-30 20:35:00","26.64","1.553","101.078","5.28"
"2025-07-30 20:40:00","26.84","2.029","101.201","4.99"
"2025-07-30 20:45:00","27.7","1.51","101.09","5.07"
"2025-07-30 20:50:00","26.104","1.958","91.486","5.069"
"2025-07-30 20:55:00","26.041","1.606","101.027","5.042"
"2025-07-30 21:00:00","26.559","2.034","101.176","4.793"
"2025-07-30 21:05:00","25.605","2.054","100.697","4.11"
"2025-07-30 21:10:00","26.67","1.845","101.117","5.725"
"2025-07-30 21:15:00","25.988","1.574","101.425","5.068"
"2025-07-30 21:20:00","25.729","1.515","101.278","5.203"
"2025-07-30 21:25:00","25.901","2.292","101.535","5.341"
"2025-07-30 21:30:00","27.023","2.062","101.012","12.45"
"2025-07-30 21:35:00","25.317","1.682","100.937","5.117"
"2025-07-30 21:40:00","24.822","1.963","100.843","4.927"
"2025-07-30 21:45:00","26.182","1.596","100.943","4.972"
"2025-07-30 21:50:00","25.401","1.941","101.214","4.767"
"2025-07-30 21:55:00","25.075","1.594","101.305","4.98"
"2025-07-30 22:00:00","24.737","1.718","100.638","4.618"
"2025-07-30 22:05:00","26.179","1.758","101.069","5.359"
"2025-07-30 22:10:00","26.202","1.561","100.95","4.705"
"2025-07-30 22:15:00","24.872","1.833","101.298","5.145"
"2025-07-30 22:20:00","25.285","1.812","101.025","4.445"
"2025-07-30 22:25:00","25.898","1.648","100.849","4.262"
"2025-07-30 22:30:00","24.892","1.608","100.994","5.348"
"2025-07-30 22:35:00","25.219","1.71","100.999","4.606"
"2025-07-30 22:40:00","25.548","1.556","101.195","4.766"
"2025-07-30 22:45:00","24.781","2.072","95.964","4.345"
"2025-07-30 22:50:00","25.507","1.739","101.277","5.146"
"2025-07-30 22:55:00","24.255","1.537","101.747","5.697"
"2025-07-30 23:00:00","24.667","3.932","100.826","5.11"
"2025-07-30 23:05:00","25.02","1.632","100.804","4.813"
"2025-07-30 23:10:00","24.839","1.682","100.81","5.557"
"2025-07-30 23:15:00","24.794","1.709","100.73","4.483"
"2025-07-30 23:20:00","24.621","1.584","101.304","5.191"
"2025-07-30 23:25:00","24.773","1.749","101.299","5.307"
"2025-07-30 23:30:00","23.904","1.63","100.924","4.857"
"2025-07-30 23:35:00","24.995","2.173","92.401","4.68"
"2025-07-30 23:40:00","25.181","1.583","101.018","5.173"
"2025-07-30 23:45:00","25.536","2.279","100.998","5.394"
"2025-07-30 23:50:00","25.468","2.606","100.947","5.187"
"2025-07-30 23:55:00","25.175","1.616","100.783","4.924"
"2025-07-31 00:00:00","24.163","2.051","101.298","5.564"
"2025-07-31 00:05:00","24.986","1.851","101.245","4.811"
"2025-07-31 00:10:00","24.587","1.568","100.89","4.375"
"2025-07-31 00:15:00","24.562","1.743","100.951","4.655"
"2025-07-31 00:20:00","24.525","1.579","101.237","4.78"
"2025-07-31 00:25:00","24.862","1.568","100.736","5.135"
"2025-07-31 00:30:00","24.256","1.723","101.313","5.827"
"2025-07-31 00:35:00","24.935","1.865","101.378","5.795"
"2025-07-31 00:40:00","24.423","1.631","100.849","5.012"
"2025-07-31 00:45:00","24.175","2.15","100.986","4.414"
"2025-07-31 00:50:00","25.326","1.53","101.01","5.079"
"2025-07-31 00:55:00","24.824","1.516","101.099","4.89"
"2025-07-31 01:00:00","25.129","1.709","101.128","5.18"
"2025-07-31 01:05:00","24.448","1.575","100.926","4.701"
"2025-07-31 01:10:00","24.533","1.688","101.301","5.205"
"2025-07-31 01:15:00","25.816","2.745","101.141","5.342"
"2025-07-31 01:20:00","24.642","1.695","101.218","4.713"
"2025-07-31 01:25:00","25.626","1.585","100.701","4.054"
"2025-07-31 01:30:00","24.914","1.747","101.394","5.597"
"2025-07-31 01:35:00","25.123","1.653","101.089","4.924"
"2025-07-31 01:40:00","26.026","1.903","101.203","5.401"
"2025-07-31 01:45:00","25.089","2.515","101.298","4.433"
"2025-07-31 01:50:00","25.282","1.923","101.04","5.144"
"2025-07-31 01:55:00","24.167","1.712","100.854","4.627"
"2025-07-31 02:00:00","25.772","7.593","100.993","4.781"
"2025-07-31 02:05:00","25.505","1.893","101.02","4.891"
"2025-07-31 02:10:00","25.06","2.132","101.197","4.732"
"2025-07-31 02:15:00","26.781","1.993","100.63","5.64"
"2025-07-31 02:20:00","25.229","1.747","101.482","5.655"
"2025-07-31 02:25:00","25.194","1.81","101.201","4.656"
"2025-07-31 02:30:00","25.622","1.58","101.094","5.009"
"2025-07-31 02:35:00","25.103","1.604","101.023","5.314"
"2025-07-31 02:40:00","25.831","2.011","101.098","6.001"
"2025-07-31 02:45:00","24.887","1.691","101.072","5.192"
"2025-07-31 02:50:00","26.477","1.687","100.992","4.854"
"2025-07-31 02:55:00","26.023","2.058","101.009","5.025"
"2025-07-31 03:00:00","26.002","1.553","101.12","4.371"
"2025-07-31 03:05:00","26.303","1.765","101.096","5.093"
"2025-07-31 03:10:00","25.726","1.533","100.944","5.599"
"2025-07-31 03:15:00","25.783","1.899","100.977","4.772"
"2025-07-31 03:20:00","26.844","2.06","101.225","5.136"
"2025-07-31 03:25:00","26.768","1.531","101.062","5.325"
"2025-07-31 03:30:00","26.12","1.514","101.693","4.847"
"2025-07-31 03:35:00","27.055","1.932","101.313","5.212"
"2025-07-31 03:40:00","28.315","1.922","101.141","5.811"
"2025-07-31 03:45:00","26.633","1.58","100.872","5.98"
"2025-07-31 03:50:00","27.647","2.423","101.111","5.419"
"2025-07-31 03:55:00","27.11","1.507","100.882","5.366"
"2025-07-31 04:00:00","27.016","1.543","101.035","4.791"
"2025-07-31 04:05:00","26.868","1.942","101.119","4.795"
"2025-07-31 04:10:00","27.805","1.65","101.492","5.087"
"2025-07-31 04:15:00","27.67","1.838","101.163","5.24"
"2025-07-31 04:20:00","28.069","1.513","100.968","4.952"
"2025-07-31 04:25:00","28.062","1.504","101.176","4.764"
"2025-07-31 04:30:00","28.306","1.903","100.828","4.969"
"2025-07-31 04:35:00","28.456","1.852","100.628","4.324"
"2025-07-31 04:40:00","27.759","1.527","100.724","5.286"
"2025-07-31 04:45:00","28.223","2.582","100.98","4.496"
"2025-07-31 04:50:00","28.224","1.51","100.931","4.599"
"2025-07-31 04:55:00","27.926","1.612","100.972","5.253"
"2025-07-31 05:00:00","27.826","1.563","101.402","4.757"
"2025-07-31 05:05:00","29.227","1.665","100.897","4.983"
"2025-07-31 05:10:00","28.931","1.547","101.406","5.443"
"2025-07-31 05:15:00","29.557","2.008","100.685","4.022"
"2025-07-31 05:20:00","29.034","2.112","100.783","4.955"
"2025-07-31 05:25:00","28.79","1.707","100.907","4.711"
"2025-07-31 05:30:00","28.837","1.806","100.984","4.698"
"2025-07-31 05:35:00","28.885","1.793","100.866","5.167"
"2025-07-31 05:40:00","29.122","1.609","100.971","4.996"
"2025-07-31 05:45:00","29.25","1.536","101.197","4.075"
"2025-07-31 05:50:00","29.761","1.776","101.344","5.44"
"2025-07-31 05:55:00","28.911","1.599","100.77","4.597"
"2025-07-31 06:00:00","29.333","1.653","100.82","4.402"
"2025-07-31 06:05:00","28.995","2.436","101.162","5.041"
"2025-07-31 06:10:00","30.074","1.821","101.178","4.919"
"2025-07-31 06:15:00","30.334","2.062","101.195","5.218"
"2025-07-31 06:20:00","30.433","1.535","101.088","4.212"
"2025-07-31 06:25:00","29.751","1.557","101.471","5.558"
"2025-07-31 06:30:00","29.841","1.523","101.184","5.362"
"2025-07-31 06:35:00","30.032","2.38","101.205","5.318"
"2025-07-31 06:40:00","29.949","2.667","101.337","4.597"
"2025-07-31 06:45:00","30.901","1.737","101.018","4.898"
"2025-07-31 06:50:00","30.335","1.614","101.137","4.868"
"2025-07-31 06:55:00","30.991","1.9","100.864","5.219"
"2025-07-31 07:00:00","31.485","1.502","100.9","5.021"
"2025-07-31 07:05:00","30.927","1.812","100.987","5.466"
"2025-07-31 07:10:00","31.071","2.505","100.709","4.677"
"2025-07-31 07:15:00","30.857","1.58","101.029","4.186"
"2025-07-31 07:20:00","31.689","1.814","101.13","5.002"
"2025-07-31 07:25:00","31.278","1.994","100.828","5.045"
"2025-07-31 07:30:00","31.55","1.899","100.834","4.863"
"2025-07-31 07:35:00","32.191","1.674","100.994","5.095"
"2025-07-31 07:40:00","31.739","1.544","101.39","5.299"
"2025-07-31 07:45:00","31.332","2.026","100.713","4.936"
"2025-07-31 07:50:00","31.915","1.821","100.896","5.17"
"2025-07-31 07:55:00","32.022","1.54","101.096","5.107"
"2025-07-31 08:00:00","32.352","3.925","100.867","7.784"
"2025-07-31 08:05:00","32.949","3.877","101.123","8.489"
"2025-07-31 08:10:00","31.736","3.512","100.729","8.534"
"2025-07-31 08:15:00","32.412","4.149","101.139","7.971"
"2025-07-31 08:20:00","40.405","3.906","101.104","7.532"
"2025-07-31 08:25:00","32.86","3.595","101.653","7.558"
"2025-07-31 08:30:00","32.898","3.868","101.084","8.581"
"2025-07-31 08:35:00","32.638","3.52","100.839","7.78"
"2025-07-31 08:40:00","32.497","3.871","100.896","7.542"
"2025-07-31 08:45:00","33.713","3.638","100.817","7.969"
"2025-07-31 08:50:00","32.972","3.825","101.136","7.855"
"2025-07-31 08:55:00","32.732","3.672","101.312","7.982"
"2025-07-31 09:00:00","31.894","3.582","101.046","8.286"
"2025-07-31 09:05:00","33.347","3.721","101.041","7.902"
"2025-07-31 09:10:00","33.308","3.899","101.049","8.426"
"2025-07-31 09:15:00","33.758","3.59","100.899","7.716"
"2025-07-31 09:20:00","33.632","3.963","101.054","8.086"
"2025-07-31 09:25:00","33.787","3.84","101.058","7.633"
"2025-07-31 09:30:00","33.053","4.366","101.093","7.967"
"2025-07-31 09:35:00","33.216","4.185","101.269","8.038"
"2025-07-31 09:40:00","34.085","3.716","94.921","8.205"
"2025-07-31 09:45:00","33.52","3.545","101.325","7.701"
"2025-07-31 09:50:00","33.883","3.528","100.878","7.217"
"2025-07-31 09:55:00","33.089","3.837","100.773","7.878"
"2025-07-31 10:00:00","33.086","3.586","101.278","8.08"
"2025-07-31 10:05:00","33.636","3.532","101.087","8.065"
"2025-07-31 10:10:00","34.079","3.625","100.686","8.505"
"2025-07-31 10:15:00","34.352","3.571","100.968","7.445"
"2025-07-31 10:20:00","34.525","3.585","101.148","8.474"
"2025-07-31 10:25:00","34.022","3.75","100.757","7.832"
"2025-07-31 10:30:00","34.165","3.853","101.413","8.278"
"2025-07-31 10:35:00","34.399","4.047","101.174","7.643"
"2025-07-31 10:40:00","34.346","3.875","101.111","8.877"
"2025-07-31 10:45:00","34.397","3.58","100.966","8.435"
"2025-07-31 10:50:00","35.023","3.801","100.97","8.419"
"2025-07-31 10:55:00","35.243","4.234","101.065","7.358"
"2025-07-31 11:00:00","33.439","3.895","101.38","8.106"
"2025-07-31 11:05:00","34.625","3.511","101.158","8.452"
"2025-07-31 11:10:00","34.364","3.623","100.925","8.141"
"2025-07-31 11:15:00","34.302","3.572","101.211","7.928"
"2025-07-31 11:20:00","34.358","4.303","101.376","7.668"
"2025-07-31 11:25:00","35.346","3.649","100.834","8.385"
"2025-07-31 11:30:00","34.819","3.866","101.103","8.079"
"2025-07-31 11:35:00","35.426","3.503","101.026","7.686"
"2025-07-31 11:40:00","35.123","3.756","100.988","7.867"
"2025-07-31 11:45:00","35.365","3.621","101.025","7.848"
"2025-07-31 11:50:00","34.675","3.801","101.308","8.391"
"2025-07-31 11:55:00","34.267","3.941","101.131","7.894"
"2025-07-31 12:00:00","34.676","3.72","100.924","8.753"
"2025-07-31 12:05:00","34.453","3.668","101.4","7.418"
"2025-07-31 12:10:00","34.762","4.278","100.555","7.779"
"2025-07-31 12:15:00","33.487","3.628","100.675","8.32"
"2025-07-31 12:20:00","34.31","3.658","101.036","7.825"
"2025-07-31 12:25:00","34.628","3.592","101.357","8.076"
"2025-07-31 12:30:00","34.545","3.69","100.933","7.572"
"2025-07-31 12:35:00","34.106","3.722","100.87","7.528"
"2025-07-31 12:40:00","35.248","3.794","101.117","8.004"
"2025-07-31 12:45:00","34.278","3.706","101.189","7.951"
"2025-07-31 12:50:00","34.894","3.873","101.494","8.216"
"2025-07-31 12:55:00","33.369","3.757","101.249","8.406"
"2025-07-31 13:00:00","33.765","3.863","101.076","8.138"
"2025-07-31 13:05:00","33.516","3.621","101.177","7.455"
"2025-07-31 13:10:00","33.855","4.089","100.972","8.74"
"2025-07-31 13:15:00","34.118","3.515","100.962","7.71"
"2025-07-31 13:20:00","34.179","3.823","93.185","8.229"
"2025-07-31 13:25:00","33.857","3.998","101.388","7.986"
"2025-07-31 13:30:00","33.45","3.577","101.363","8.506"
"2025-07-31 13:35:00","34.268","3.558","100.772","7.415"
"2025-07-31 13:40:00","34.131","3.942","100.842","7.424"
"2025-07-31 13:45:00","34.541","3.514","100.88","8.656"
"2025-07-31 13:50:00","33.991","3.85","101.105","7.571"
"2025-07-31 13:55:00","33.892","3.743","100.737","8.069"
"2025-07-31 14:00:00","34.628","3.884","101.225","7.395"
"2025-07-31 14:05:00","33.477","3.533","101.073","8.42"
"2025-07-31 14:10:00","33.125","3.619","101.249","7.911"
"2025-07-31 14:15:00","34.393","3.581","101.001","8.204"
"2025-07-31 14:20:00","34.187","3.582","101.35","7.626"
"2025-07-31 14:25:00","44.386","3.682","101.002","8.119"
"2025-07-31 14:30:00","33.942","3.747","101.502","7.016"
"2025-07-31 14:35:00","32.764","3.56","101.227","8.059"
"2025-07-31 14:40:00","33.125","3.635","100.95","7.556"
"2025-07-31 14:45:00","33.094","3.738","100.95","8.376"
"2025-07-31 14:50:00","32.814","3.525","101.032","8.25"
"2025-07-31 14:55:00","34.063","3.508","100.929","7.62"
"2025-07-31 15:00:00","31.978","3.809","101.023","8.361"
"2025-07-31 15:05:00","33.272","3.654","100.909","8.434"
"2025-07-31 15:10:00","33.031","3.757","100.828","7.452"
"2025-07-31 15:15:00","32.588","4.054","101.126","8.137"
"2025-07-31 15:20:00","32.439","3.521","95.566","7.292"
"2025-07-31 15:25:00","31.809","3.835","100.894","7.777"
"2025-07-31 15:30:00","33.411","3.771","101.399","7.744"
"2025-07-31 15:35:00","32.532","3.621","101.2","7.952"
"2025-07-31 15:40:00","31.719","3.728","101.023","7.944"
"2025-07-31 15:45:00","32.122","3.753","101.198","7.752"
"2025-07-31 15:50:00","32.935","3.817","101.239","8.047"
"2025-07-31 15:55:00","32.016","3.598","101.051","8.272"
"2025-07-31 16:00:00","32.453","3.903","101.498","7.844"
"2025-07-31 16:05:00","32.365","3.571","100.956","7.722"
"2025-07-31 16:10:00","32.032","3.513","101.065","7.448"
"2025-07-31 16:15:00","30.832","4.343","101.148","8.107"
"2025-07-31 16:20:00","31.617","4.332","101.388","8.018"
"2025-07-31 16:25:00","32.11","4.245","101.281","8.331"
"2025-07-31 16:30:00","30.166","3.567","100.88","8.398"
"2025-07-31 16:35:00","31.494","3.54","101.503","7.875"
"2025-07-31 16:40:00","31.402","3.535","94.77","7.219"
"2025-07-31 16:45:00","31.189","3.554","100.471","8.073"
"2025-07-31 16:50:00","31.762","3.759","101.007","8.44"
"2025-07-31 16:55:00","31.054","3.603","101.121","7.84"
"2025-07-31 17:00:00","30.104","3.523","100.913","8.253"
"2025-07-31 17:05:00","30.801","3.626","101.11","8.217"
"2025-07-31 17:10:00","30.704","3.678","100.903","7.589"
"2025-07-31 17:15:00","30.331","3.587","101.057","8.053"
"2025-07-31 17:20:00","29.305","3.623","101.186","8.623"
"2025-07-31 17:25:00","30.831","3.672","100.887","7.288"
"2025-07-31 17:30:00","29.686","3.77","101.171","7.179"
"2025-07-31 17:35:00","29.923","3.6","101.099","8.114"
"2025-07-31 17:40:00","29.839","3.58","101.117","7.544"
"2025-07-31 17:45:00","30.307","3.53","101.151","7.099"
"2025-07-31 17:50:00","30.117","3.545","100.828","7.845"
"2025-07-31 17:55:00","29.848","3.896","101.279","8.026"
"2025-07-31 18:00:00","29.509","3.762","101.177","8.867"
"2025-07-31 18:05:00","30.169","1.523","100.991","4.64"
"2025-07-31 18:10:00","29.512","1.65","101.263","5.222"
"2025-07-31 18:15:00","29.621","1.843","101.273","5.33"
"2025-07-31 18:20:00","29.494","1.964","101.083","5.019"
"2025-07-31 18:25:00","28.643","2.552","100.411","4.554"
"2025-07-31 18:30:00","29.308","1.686","94.194","3.888"
"2025-07-31 18:35:00","29.033","1.693","101.375","5.094"
"2025-07-31 18:40:00","28.514","2.452","101.043","5.121"
"2025-07-31 18:45:00","29.225","2.333","100.929","5.094"
"2025-07-31 18:50:00","29.27","1.528","101.087","4.531"
"2025-07-31 18:55:00","28.468","1.739","100.875","4.872"
"2025-07-31 19:00:00","29.065","2.008","101.228","4.382"
"2025-07-31 19:05:00","28.232","2.282","101.083","5.175"
"2025-07-31 19:10:00","28.237","1.666","101.021","4.891"
"2025-07-31 19:15:00","27.555","1.504","100.881","4.71"
"2025-07-31 19:20:00","28.033","1.687","101.347","4.208"
"2025-07-31 19:25:00","27.77","1.595","100.754","4.649"
"2025-07-31 19:30:00","27.468","1.58","101.474","5.027"
"2025-07-31 19:35:00","28.048","1.953","100.82","4.758"
"2025-07-31 19:40:00","27.559","1.535","101.084","6.06"
"2025-07-31 19:45:00","27.694","1.685","100.891","4.155"
"2025-07-31 19:50:00","26.633","1.555","101.163","5.113"
"2025-07-31 19:55:00","27.631","1.936","100.95","4.5"
"2025-07-31 20:00:00","27.16","2.09","101.05","4.936"
"2025-07-31 20:05:00","26.998","1.757","101.31","5.055"
"2025-07-31 20:10:00","26.921","2.332","101.059","4.742"
"2025-07-31 20:15:00","26.363","1.568","101.545","5.008"
"2025-07-31 20:20:00","27.447","1.538","100.871","4.939"
"2025-07-31 20:25:00","26.62","1.552","100.89","5.15"
"2025-07-31 20:30:00","26.261","1.665","100.989","4.931"
"2025-07-31 20:35:00","26.282","1.525","101.119","5.258"
"2025-07-31 20:40:00","26.748","1.575","101.237","5.109"
"2025-07-31 20:45:00","27.226","1.512","101.015","5.123"
"2025-07-31 20:50:00","25.464","1.596","100.764","4.578"
"2025-07-31 20:55:00","26.983","2.459","100.785","5.782"
"2025-07-31 21:00:00","26.619","1.643","100.931","4.916"
"2025-07-31 21:05:00","25.584","1.725","101.019","5.009"
"2025-07-31 21:10:00","26.367","1.751","101.136","5.909"
"2025-07-31 21:15:00","26.114","2.163","101.236","5.439"
"2025-07-31 21:20:00","25.992","2.77","101.108","4.906"
"2025-07-31 21:25:00","26.426","1.809","101.02","5.492"
"2025-07-31 21:30:00","25.41","1.569","100.992","5.394"
"2025-07-31 21:35:00","25.967","1.816","100.898","5.371"
"2025-07-31 21:40:00","24.748","1.955","100.881","5.027"
"2025-07-31 21:45:00","26.01","1.672","101.366","4.719"
"2025-07-31 21:50:00","24.924","1.686","101.203","5.034"
"2025-07-31 21:55:00","25.879","1.694","101.437","5.775"
"2025-07-31 22:00:00","25.059","2.077","100.98","4.217"
"2025-07-31 22:05:00","25.097","1.926","100.781","5.08"
"2025-07-31 22:10:00","25.393","1.639","101.266","5.377"
"2025-07-31 22:15:00","25.238","1.565","100.943","4.99"
"2025-07-31 22:20:00","25.979","1.622","100.696","5.052"
"2025-07-31 22:25:00","25.233","2.675","101.042","5.52"
"2025-07-31 22:30:00","24.766","1.842","100.771","4.775"
"2025-07-31 22:35:00","24.786","1.763","101.175","5.029"
"2025-07-31 22:40:00","25.175","1.606","100.972","4.752"
